Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
1.74,35.70,85.50,83.80,27.37,38.14,6.44,2.01,9.30
2.07,34.60,110.00,98.00,30.30,7.02,7.39,2.34,10.20
1.84,37.10,83.00,79.50,24.09,27.62,6.72,2.02,10.20
2.61,44.00,114.00,110.50,34.66,7.23,7.86,2.25,14.40
1.82,37.10,77.50,75.50,23.26,35.82,6.39,1.96,10.10
1.84,36.80,89.00,86.80,26.19,33.76,6.54,2.24,8.70
1.63,35.20,82.50,80.00,23.47,39.32,6.51,2.03,9.90
1.94,37.70,82.50,80.00,30.05,9.59,7.14,2.45,10.50
2.47,46.50,108.00,97.50,42.75,9.34,7.57,2.73,14.80
1.92,37.60,85.50,83.50,28.58,18.13,6.70,1.99,9.90
1.87,36.90,90.50,88.00,27.77,25.33,6.84,2.10,9.40
1.94,35.30,82.50,81.00,32.10,11.84,6.72,2.01,10.20
2.25,37.60,104.00,96.00,40.74,9.18,7.43,2.45,11.70
2.78,46.70,118.40,113.50,38.24,6.50,8.27,2.70,15.00
1.93,37.80,89.50,87.00,28.88,11.52,6.63,2.06,9.80
1.91,36.80,91.50,88.50,25.55,24.63,7.44,2.29,9.00
1.95,35.50,98.70,94.00,31.20,9.61,7.02,2.02,10.20
1.96,37.70,106.50,75.50,31.60,9.78,7.18,2.48,10.50
2.40,47.10,116.50,116.50,40.28,13.80,7.37,2.71,12.00
1.95,37.90,91.00,89.50,32.20,7.20,7.15,2.10,11.60
2.17,36.60,91.50,88.00,32.70,7.78,7.43,2.32,11.80
1.94,35.30,83.50,81.50,32.27,7.81,7.01,2.01,10.20
2.55,43.60,105.00,102.50,40.67,8.39,8.06,2.46,13.50
2.49,45.60,119.00,114.50,39.82,8.05,7.95,2.79,14.80
1.94,37.80,89.00,87.50,28.94,8.61,6.64,2.11,9.70
